Transportadora;CIDADE ORIGEM;CIDADE DESTINO;UF;Até 10kg;Até 20kg;Até 30kg; Até 40kg ; Até 50kg ; Até 60kg ; Até 70kg ;Até 80kg;Até 90kg;Até 100kg;Até 150kg;TX Embarque;Frete Valor;Frete Peso; TX ADM ;GRIS; GRISS MINIMO ; TDE ; TAXA QUIMICO ; QTDE PRAÇA ;FRAÇÃO;MINIMO; Sigla Praça 
AGEX;ARAPONGAS;ANDIRA;PR; R$ 33,05 ; R$ 35,81 ; R$ 35,81 ; R$ 41,31 ; R$ 41,31 ; R$ 44,07 ; R$ 44,07 ; R$ 55,08 ; R$ 55,08 ; R$ 55,08 ;;;0,30%;0,55000;;0,10%;;;;;;;
AGEX;ARAPONGAS;CASCAVEL;PR; R$ 28,89 ; R$ 31,29 ; R$ 31,29 ; R$ 36,11 ; R$ 36,11 ; R$ 38,52 ; R$ 38,52 ; R$ 48,15 ; R$ 48,15 ; R$ 48,15 ;;;0,30%;0,48000;;0,10%;;;;;;;
AGEX;ARAPONGAS;CIANORTE;PR; R$ 28,89 ; R$ 31,29 ; R$ 31,29 ; R$ 36,11 ; R$ 36,11 ; R$ 38,52 ; R$ 38,52 ; R$ 48,15 ; R$ 48,15 ; R$ 48,15 ;;;0,30%;0,48000;;0,10%;;;;;;;
AGEX;ARAPONGAS;FOZ DO IGUACU;PR; R$ 28,89 ; R$ 31,29 ; R$ 31,29 ; R$ 36,11 ; R$ 36,11 ; R$ 38,52 ; R$ 38,52 ; R$ 48,15 ; R$ 48,15 ; R$ 48,15 ;;;0,30%;0,48000;;0,10%;;;;;;;
AGEX;ARAPONGAS;GUARACI;PR; R$ 30,32 ; R$ 32,85 ; R$ 32,85 ; R$ 37,90 ; R$ 37,90 ; R$ 40,43 ; R$ 40,43 ; R$ 50,53 ; R$ 50,53 ; R$ 50,53 ;;;0,30%;0,50000;;0,10%;;;;;;;
AGEX;ARAPONGAS;IMBAU;PR; R$ 33,05 ; R$ 35,81 ; R$ 35,81 ; R$ 41,31 ; R$ 41,31 ; R$ 44,07 ; R$ 44,07 ; R$ 55,08 ; R$ 55,08 ; R$ 55,08 ;;;0,30%;0,55000;;0,10%;;;;;;;
AGEX;ARAPONGAS;JACAREZINHO;PR; R$ 30,32 ; R$ 32,85 ; R$ 32,85 ; R$ 37,90 ; R$ 37,90 ; R$ 40,43 ; R$ 40,43 ; R$ 50,53 ; R$ 50,53 ; R$ 50,53 ;;;0,30%;0,50000;;0,10%;;;;;;;
AGEX;ARAPONGAS;MANDAGUACU;PR; R$ 30,32 ; R$ 32,85 ; R$ 32,85 ; R$ 37,90 ; R$ 37,90 ; R$ 40,43 ; R$ 40,43 ; R$ 50,53 ; R$ 50,53 ; R$ 50,53 ;;;0,30%;0,50000;;0,10%;;;;;;;
AGEX;ARAPONGAS;MARECHAL CANDIDO RONDON;PR; R$ 28,89 ; R$ 31,29 ; R$ 31,29 ; R$ 36,11 ; R$ 36,11 ; R$ 38,52 ; R$ 38,52 ; R$ 48,15 ; R$ 48,15 ; R$ 48,15 ;;;0,30%;0,48000;;0,10%;;;;;;;
AGEX;ARAPONGAS;MARINGA;PR; R$ 28,89 ; R$ 31,29 ; R$ 31,29 ; R$ 36,11 ; R$ 36,11 ; R$ 38,52 ; R$ 38,52 ; R$ 48,15 ; R$ 48,15 ; R$ 48,15 ;;;0,30%;0,48000;;0,10%;;;;;;;
AGEX;ARAPONGAS;MATELANDIA;PR; R$ 30,32 ; R$ 32,85 ; R$ 32,85 ; R$ 37,90 ; R$ 37,90 ; R$ 40,43 ; R$ 40,43 ; R$ 50,53 ; R$ 50,53 ; R$ 50,53 ;;;0,30%;0,50000;;0,10%;;;;;;;
AGEX;ARAPONGAS;PARANAVAI;PR; R$ 33,05 ; R$ 35,81 ; R$ 35,81 ; R$ 41,31 ; R$ 41,31 ; R$ 44,07 ; R$ 44,07 ; R$ 55,08 ; R$ 55,08 ; R$ 55,08 ;;;0,30%;0,50000;;0,10%;;;;;;;
AGEX;ARAPONGAS;PONTA GROSSA;PR; R$ 28,89 ; R$ 31,29 ; R$ 31,29 ; R$ 36,11 ; R$ 36,11 ; R$ 38,52 ; R$ 38,52 ; R$ 48,15 ; R$ 48,15 ; R$ 48,15 ;;;0,30%;0,48000;;0,10%;;;;;;;
AGEX;ARAPONGAS;SAO JOSE DOS PINHAIS;PR; R$ 28,89 ; R$ 31,29 ; R$ 31,29 ; R$ 36,11 ; R$ 36,11 ; R$ 38,52 ; R$ 38,52 ; R$ 48,15 ; R$ 48,15 ; R$ 48,15 ;;;0,30%;0,48000;;0,10%;;;;;;;
AGEX;ARAPONGAS;UMUARAMA;PR; R$ 28,89 ; R$ 31,29 ; R$ 31,29 ; R$ 36,11 ; R$ 36,11 ; R$ 38,52 ; R$ 38,52 ; R$ 48,15 ; R$ 48,15 ; R$ 48,15 ;;;0,30%;0,48000;;0,10%;;;;;;;
AGEX;ARAPONGAS;ALVORADA DO SUL;PR; R$ 33,05 ; R$ 35,81 ; R$ 35,81 ; R$ 41,31 ; R$ 41,31 ; R$ 44,07 ; R$ 44,07 ; R$ 55,08 ; R$ 55,08 ; R$ 55,08 ;;;0,30%;0,55000;;0,10%;;;;;;;
AGEX;PINHAIS;SAO JOSE DOS PINHAIS;PR; R$ 30,32 ; R$ 32,85 ; R$ 32,85 ; R$ 37,90 ; R$ 37,90 ; R$ 40,43 ; R$ 40,43 ; R$ 50,53 ; R$ 50,53 ; R$ 50,53 ;;;0,30%;0,50000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;ADRIANOPOLIS;PR; R$ 33,05 ; R$ 35,81 ; R$ 35,81 ; R$ 41,31 ; R$ 41,31 ; R$ 44,07 ; R$ 44,07 ; R$ 55,08 ; R$ 55,08 ; R$ 55,08 ;;;0,30%;0,55000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;AGUDOS DO SUL;PR; R$ 26,70 ; R$ 32,24 ; R$ 32,24 ; R$ 36,95 ; R$ 36,95 ; R$ 42,78 ; R$ 42,78 ; R$ 47,97 ; R$ 47,97 ; R$ 47,97 ;;;0,30%;0,42000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;APUCARANA;PR; R$ 26,50 ; R$ 28,71 ; R$ 28,71 ; R$ 33,13 ; R$ 33,13 ; R$ 35,34 ; R$ 35,34 ; R$ 44,17 ; R$ 44,17 ; R$ 44,17 ;;;0,30%;0,44000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;ARAPONGAS;PR; R$ 28,89 ; R$ 31,29 ; R$ 31,29 ; R$ 36,11 ; R$ 36,11 ; R$ 38,52 ; R$ 38,52 ; R$ 48,15 ; R$ 48,15 ; R$ 48,15 ;;;0,30%;0,48000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;ARARUNA;PR; R$ 26,70 ; R$ 32,24 ; R$ 32,24 ; R$ 36,95 ; R$ 36,95 ; R$ 42,78 ; R$ 42,78 ; R$ 47,97 ; R$ 47,97 ; R$ 47,97 ;;;0,30%;0,42000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;ASTORGA;PR; R$ 26,70 ; R$ 32,24 ; R$ 32,24 ; R$ 36,95 ; R$ 36,95 ; R$ 42,78 ; R$ 42,78 ; R$ 47,97 ; R$ 47,97 ; R$ 47,97 ;;;0,30%;0,42000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;BELA VISTA DA CAROBA;PR; R$ 26,70 ; R$ 32,24 ; R$ 32,24 ; R$ 36,95 ; R$ 36,95 ; R$ 42,78 ; R$ 42,78 ; R$ 47,97 ; R$ 47,97 ; R$ 47,97 ;;;0,30%;0,42000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;BELA VISTA DO PARAISO;PR; R$ 26,70 ; R$ 32,24 ; R$ 32,24 ; R$ 36,95 ; R$ 36,95 ; R$ 42,78 ; R$ 42,78 ; R$ 47,97 ; R$ 47,97 ; R$ 47,97 ;;;0,30%;0,42000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;CAMBARA;PR; R$ 26,70 ; R$ 32,24 ; R$ 32,24 ; R$ 36,95 ; R$ 36,95 ; R$ 42,78 ; R$ 42,78 ; R$ 47,97 ; R$ 47,97 ; R$ 47,97 ;;;0,30%;0,42000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;CAMBE;PR; R$ 26,50 ; R$ 28,71 ; R$ 28,71 ; R$ 33,13 ; R$ 33,13 ; R$ 35,34 ; R$ 35,34 ; R$ 44,17 ; R$ 44,17 ; R$ 44,17 ;;;0,30%;0,44000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;CAMBIRA;PR; R$ 26,70 ; R$ 32,24 ; R$ 32,24 ; R$ 36,95 ; R$ 36,95 ; R$ 42,78 ; R$ 42,78 ; R$ 47,97 ; R$ 47,97 ; R$ 47,97 ;;;0,30%;0,42000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;CAMPO LARGO;PR; R$ 24,86 ; R$ 29,77 ; R$ 29,77 ; R$ 35,58 ; R$ 35,58 ; R$ 40,33 ; R$ 40,33 ; R$ 45,31 ; R$ 45,31 ; R$ 45,31 ;;;0,30%;0,33000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;CAMPO MOURAO;PR; R$ 26,50 ; R$ 28,71 ; R$ 28,71 ; R$ 33,13 ; R$ 33,13 ; R$ 35,34 ; R$ 35,34 ; R$ 44,17 ; R$ 44,17 ; R$ 44,17 ;;;0,30%;0,44000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;CARAMBEI;PR; R$ 26,50 ; R$ 28,71 ; R$ 28,71 ; R$ 33,13 ; R$ 33,13 ; R$ 35,34 ; R$ 35,34 ; R$ 44,17 ; R$ 44,17 ; R$ 44,17 ;;;0,30%;0,44000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;CASCAVEL;PR; R$ 24,86 ; R$ 29,77 ; R$ 29,77 ; R$ 35,58 ; R$ 35,58 ; R$ 40,33 ; R$ 40,33 ; R$ 45,31 ; R$ 45,31 ; R$ 45,31 ;;;0,30%;0,33000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;CASCAVEL;PR; R$ 26,50 ; R$ 28,71 ; R$ 28,71 ; R$ 33,13 ; R$ 33,13 ; R$ 35,34 ; R$ 35,34 ; R$ 44,17 ; R$ 44,17 ; R$ 44,17 ;;;0,30%;0,44000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;CASTRO;PR; R$ 30,32 ; R$ 32,85 ; R$ 32,85 ; R$ 37,90 ; R$ 37,90 ; R$ 40,43 ; R$ 40,43 ; R$ 50,53 ; R$ 50,53 ; R$ 50,53 ;;;0,30%;0,50000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;CATANDUVAS;PR; R$ 26,70 ; R$ 32,24 ; R$ 32,24 ; R$ 36,95 ; R$ 36,95 ; R$ 42,78 ; R$ 42,78 ; R$ 47,97 ; R$ 47,97 ; R$ 47,97 ;;;0,30%;0,42000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;CEU AZUL;PR; R$ 26,50 ; R$ 28,71 ; R$ 28,71 ; R$ 33,13 ; R$ 33,13 ; R$ 35,34 ; R$ 35,34 ; R$ 44,17 ; R$ 44,17 ; R$ 44,17 ;;;0,30%;0,44000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;CHOPINZINHO;PR; R$ 26,70 ; R$ 32,24 ; R$ 32,24 ; R$ 36,95 ; R$ 36,95 ; R$ 42,78 ; R$ 42,78 ; R$ 47,97 ; R$ 47,97 ; R$ 47,97 ;;;0,30%;0,42000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;CIANORTE;PR; R$ 26,50 ; R$ 28,71 ; R$ 28,71 ; R$ 33,13 ; R$ 33,13 ; R$ 35,34 ; R$ 35,34 ; R$ 44,17 ; R$ 44,17 ; R$ 44,17 ;;;0,30%;0,44000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;COLOMBO;PR; R$ 24,86 ; R$ 29,77 ; R$ 29,77 ; R$ 35,58 ; R$ 35,58 ; R$ 40,33 ; R$ 40,33 ; R$ 45,31 ; R$ 45,31 ; R$ 45,31 ;;;0,30%;0,33000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;COLORADO;PR; R$ 26,70 ; R$ 32,24 ; R$ 32,24 ; R$ 36,95 ; R$ 36,95 ; R$ 42,78 ; R$ 42,78 ; R$ 47,97 ; R$ 47,97 ; R$ 47,97 ;;;0,30%;0,42000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;CORNELIO PROCOPIO;PR; R$ 26,70 ; R$ 32,24 ; R$ 32,24 ; R$ 36,95 ; R$ 36,95 ; R$ 42,78 ; R$ 42,78 ; R$ 47,97 ; R$ 47,97 ; R$ 47,97 ;;;0,30%;0,42000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;CURITIBA;PR; R$ 24,86 ; R$ 29,77 ; R$ 29,77 ; R$ 35,58 ; R$ 35,58 ; R$ 40,33 ; R$ 40,33 ; R$ 45,31 ; R$ 45,31 ; R$ 45,31 ;;;0,30%;0,33000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;DOIS VIZINHOS;PR; R$ 26,70 ; R$ 32,24 ; R$ 32,24 ; R$ 36,95 ; R$ 36,95 ; R$ 42,78 ; R$ 42,78 ; R$ 47,97 ; R$ 47,97 ; R$ 47,97 ;;;0,30%;0,42000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;FAZENDA RIO GRANDE;PR; R$ 24,86 ; R$ 29,77 ; R$ 29,77 ; R$ 35,58 ; R$ 35,58 ; R$ 40,33 ; R$ 40,33 ; R$ 45,31 ; R$ 45,31 ; R$ 45,31 ;;;0,30%;0,33000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;FERNANDES PINHEIRO;PR; R$ 26,70 ; R$ 32,24 ; R$ 32,24 ; R$ 36,95 ; R$ 36,95 ; R$ 42,78 ; R$ 42,78 ; R$ 47,97 ; R$ 47,97 ; R$ 47,97 ;;;0,30%;0,42000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;FOZ DO IGUACU;PR; R$ 26,50 ; R$ 28,71 ; R$ 28,71 ; R$ 33,13 ; R$ 33,13 ; R$ 35,34 ; R$ 35,34 ; R$ 44,17 ; R$ 44,17 ; R$ 44,17 ;;;0,30%;0,44000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;FOZ DO IGUACU;PR; R$ 24,86 ; R$ 29,77 ; R$ 29,77 ; R$ 35,58 ; R$ 35,58 ; R$ 40,33 ; R$ 40,33 ; R$ 45,31 ; R$ 45,31 ; R$ 45,31 ;;;0,30%;0,33000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;FRANCISCO BELTRAO;PR; R$ 24,86 ; R$ 26,50 ; R$ 28,71 ; R$ 28,71 ; R$ 33,13 ; R$ 33,13 ; R$ 35,34 ; R$ 35,34 ; R$ 44,17 ; R$ 44,17 ;;;0,30%;0,33000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;GENERAL CARNEIRO;PR; R$ 26,70 ; R$ 32,24 ; R$ 32,24 ; R$ 36,95 ; R$ 36,95 ; R$ 42,78 ; R$ 42,78 ; R$ 47,97 ; R$ 47,97 ; R$ 47,97 ;;;0,30%;0,42000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;GUARACI;PR; R$ 26,70 ; R$ 32,24 ; R$ 32,24 ; R$ 36,95 ; R$ 36,95 ; R$ 42,78 ; R$ 42,78 ; R$ 47,97 ; R$ 47,97 ; R$ 47,97 ;;;0,30%;0,42000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;GUARAPUAVA;PR; R$ 26,50 ; R$ 28,71 ; R$ 28,71 ; R$ 33,13 ; R$ 33,13 ; R$ 35,34 ; R$ 35,34 ; R$ 44,17 ; R$ 44,17 ; R$ 44,17 ;;;0,30%;0,44000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;IBIPORA;PR; R$ 26,50 ; R$ 28,71 ; R$ 28,71 ; R$ 33,13 ; R$ 33,13 ; R$ 35,34 ; R$ 35,34 ; R$ 44,17 ; R$ 44,17 ; R$ 44,17 ;;;0,30%;0,44000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;IGUAÇU;PR; R$ 26,70 ; R$ 32,24 ; R$ 32,24 ; R$ 36,95 ; R$ 36,95 ; R$ 42,78 ; R$ 42,78 ; R$ 47,97 ; R$ 47,97 ; R$ 47,97 ;;;0,30%;0,42000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;IGUARACU;PR; R$ 26,70 ; R$ 32,24 ; R$ 32,24 ; R$ 36,95 ; R$ 36,95 ; R$ 42,78 ; R$ 42,78 ; R$ 47,97 ; R$ 47,97 ; R$ 47,97 ;;;0,30%;0,42000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;IMBAU;PR; R$ 26,70 ; R$ 32,24 ; R$ 32,24 ; R$ 36,95 ; R$ 36,95 ; R$ 42,78 ; R$ 42,78 ; R$ 47,97 ; R$ 47,97 ; R$ 47,97 ;;;0,30%;0,42000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;IMBITUVA;PR; R$ 26,70 ; R$ 32,24 ; R$ 32,24 ; R$ 36,95 ; R$ 36,95 ; R$ 42,78 ; R$ 42,78 ; R$ 47,97 ; R$ 47,97 ; R$ 47,97 ;;;0,30%;0,42000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;IRATI;PR; R$ 26,50 ; R$ 28,71 ; R$ 28,71 ; R$ 33,13 ; R$ 33,13 ; R$ 35,34 ; R$ 35,34 ; R$ 44,17 ; R$ 44,17 ; R$ 44,17 ;;;0,30%;0,44000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;IRETAMA;PR; R$ 26,70 ; R$ 32,24 ; R$ 32,24 ; R$ 36,95 ; R$ 36,95 ; R$ 42,78 ; R$ 42,78 ; R$ 47,97 ; R$ 47,97 ; R$ 47,97 ;;;0,30%;0,42000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;ITAPEJARA D’OESTE;PR; R$ 26,70 ; R$ 32,24 ; R$ 32,24 ; R$ 36,95 ; R$ 36,95 ; R$ 42,78 ; R$ 42,78 ; R$ 47,97 ; R$ 47,97 ; R$ 47,97 ;;;0,30%;0,42000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;ITAPEJARA D’OESTE;PR; R$ 26,70 ; R$ 32,24 ; R$ 32,24 ; R$ 36,95 ; R$ 36,95 ; R$ 42,78 ; R$ 42,78 ; R$ 47,97 ; R$ 47,97 ; R$ 47,97 ;;;0,30%;0,42000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;JACAREZINHO;PR; R$ 30,32 ; R$ 32,85 ; R$ 32,85 ; R$ 37,90 ; R$ 37,90 ; R$ 40,43 ; R$ 40,43 ; R$ 50,53 ; R$ 50,53 ; R$ 50,53 ;;;0,30%;0,50000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;JACAREZINHO;PR; R$ 26,70 ; R$ 32,24 ; R$ 32,24 ; R$ 36,95 ; R$ 36,95 ; R$ 42,78 ; R$ 42,78 ; R$ 47,97 ; R$ 47,97 ; R$ 47,97 ;;;0,30%;0,42000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;JAGUARIAIVA;PR; R$ 26,70 ; R$ 32,24 ; R$ 32,24 ; R$ 36,95 ; R$ 36,95 ; R$ 42,78 ; R$ 42,78 ; R$ 47,97 ; R$ 47,97 ; R$ 47,97 ;;;0,30%;0,42000;;0,10%;;;;;; R$ 3,85 ;
AGEX;São José dos Pinhais;JANDAIA DO SUL;PR; R$ 24,86 ; R$ 29,77 ; R$ 29,77 ; R$ 35,58 ; R$ 35,58 ; R$ 40,33 ; R$ 40,33 ; R$ 45,31 ; R$ 45,31 ; R$ 45,31 ;;;0,30%;0,33000;;0,10%;;;;;; R$ 3,85 ;
AGEX;São José dos Pinhais;LAPA;PR; R$ 30,32 ; R$ 32,85 ; R$ 32,85 ; R$ 37,90 ; R$ 37,90 ; R$ 40,43 ; R$ 40,43 ; R$ 50,53 ; R$ 50,53 ; R$ 50,53 ;;;0,30%;0,50000;;0,10%;;;;;; R$ 3,85 ;
AGEX;São José dos Pinhais;LARANJEIRAS DO SUL;PR; R$ 26,50 ; R$ 28,71 ; R$ 28,71 ; R$ 33,13 ; R$ 33,13 ; R$ 35,34 ; R$ 35,34 ; R$ 44,17 ; R$ 44,17 ; R$ 44,17 ;;;0,30%;0,44000;;0,10%;;;;;; R$ 3,85 ;
AGEX;São José dos Pinhais;LONDRINA;PR; R$ 26,50 ; R$ 28,71 ; R$ 28,71 ; R$ 33,13 ; R$ 33,13 ; R$ 35,34 ; R$ 35,34 ; R$ 44,17 ; R$ 44,17 ; R$ 44,17 ;;;0,30%;0,44000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;MANDAGUARI;PR; R$ 24,86 ; R$ 29,77 ; R$ 29,77 ; R$ 35,58 ; R$ 35,58 ; R$ 40,33 ; R$ 40,33 ; R$ 45,31 ; R$ 45,31 ; R$ 45,31 ;;;0,30%;0,33000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;MARECHAL CANDIDO RONDON;PR; R$ 26,50 ; R$ 28,71 ; R$ 28,71 ; R$ 33,13 ; R$ 33,13 ; R$ 35,34 ; R$ 35,34 ; R$ 44,17 ; R$ 44,17 ; R$ 44,17 ;;;0,30%;0,44000;;0,10%;;;;;; R$ 3,85 ;
AGEX;São José dos Pinhais;MARIALVA;PR; R$ 24,86 ; R$ 29,77 ; R$ 29,77 ; R$ 35,58 ; R$ 35,58 ; R$ 40,33 ; R$ 40,33 ; R$ 45,31 ; R$ 45,31 ; R$ 45,31 ;;;0,30%;0,33000;;0,10%;;;;;; R$ 3,85 ;
AGEX;São José dos Pinhais;MARINGA;PR; R$ 26,50 ; R$ 28,71 ; R$ 28,71 ; R$ 33,13 ; R$ 33,13 ; R$ 35,34 ; R$ 35,34 ; R$ 44,17 ; R$ 44,17 ; R$ 44,17 ;;;0,30%;0,44000;;0,10%;;;;;; R$ 3,85 ;
AGEX;São José dos Pinhais;MARIOPOLIS;PR; R$ 26,70 ; R$ 32,24 ; R$ 32,24 ; R$ 36,95 ; R$ 36,95 ; R$ 42,78 ; R$ 42,78 ; R$ 47,97 ; R$ 47,97 ; R$ 47,97 ;;;0,30%;0,42000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;MATELANDIA;PR; R$ 26,70 ; R$ 32,24 ; R$ 32,24 ; R$ 36,95 ; R$ 36,95 ; R$ 42,78 ; R$ 42,78 ; R$ 47,97 ; R$ 47,97 ; R$ 47,97 ;;;0,30%;0,42000;;0,10%;;;;;; R$ 3,85 ;
AGEX;São José dos Pinhais;MAUA DA SERRA;PR; R$ 26,70 ; R$ 32,24 ; R$ 32,24 ; R$ 36,95 ; R$ 36,95 ; R$ 42,78 ; R$ 42,78 ; R$ 47,97 ; R$ 47,97 ; R$ 47,97 ;;;0,30%;0,42000;;0,10%;;;;;; R$ 3,85 ;
AGEX;São José dos Pinhais;MEDIANEIRA;PR; R$ 26,50 ; R$ 28,71 ; R$ 28,71 ; R$ 33,13 ; R$ 33,13 ; R$ 35,34 ; R$ 35,34 ; R$ 44,17 ; R$ 44,17 ; R$ 44,17 ;;;0,30%;0,44000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;NOVA ESPERANCA;PR; R$ 26,70 ; R$ 32,24 ; R$ 32,24 ; R$ 36,95 ; R$ 36,95 ; R$ 42,78 ; R$ 42,78 ; R$ 47,97 ; R$ 47,97 ; R$ 47,97 ;;;0,30%;0,42000;;0,10%;;;;;; R$ 3,85 ;
AGEX;São José dos Pinhais;PAIÇANDU;PR; R$ 26,50 ; R$ 28,71 ; R$ 28,71 ; R$ 33,13 ; R$ 33,13 ; R$ 35,34 ; R$ 35,34 ; R$ 44,17 ; R$ 44,17 ; R$ 44,17 ;;;0,30%;0,44000;;0,10%;;;;;; R$ 3,85 ;
AGEX;São José dos Pinhais;PARANAVAI;PR; R$ 26,70 ; R$ 32,24 ; R$ 32,24 ; R$ 36,95 ; R$ 36,95 ; R$ 42,78 ; R$ 42,78 ; R$ 47,97 ; R$ 47,97 ; R$ 47,97 ;;;0,30%;0,42000;;0,10%;;;;;; R$ 3,85 ;
AGEX;São José dos Pinhais;PATO BRANCO;PR; R$ 26,50 ; R$ 28,71 ; R$ 28,71 ; R$ 33,13 ; R$ 33,13 ; R$ 35,34 ; R$ 35,34 ; R$ 44,17 ; R$ 44,17 ; R$ 44,17 ;;;0,30%;0,44000;;0,10%;;;;;;;
AGEX;São José dos Pinhais;PAULA FREITAS;PR; R$ 26,70 ; R$ 32,24 ; R$ 32,24 ; R$ 36,95 ; R$ 36,95 ; R$ 42,78 ; R$ 42,78 ; R$ 47,97 ; R$ 47,97 ; R$ 47,97 ;;;0,30%;0,42000;;0,10%;;;;;; R$ 3,85 ;
